Fecha;Medida;Territorio;Valor;
07/07/2021;Total confirmados ;Córdoba;58234;
07/07/2021;Total confirmados ;Granada;94252;
07/07/2021;Total confirmados ;Huelva;34247;
07/07/2021;Total confirmados ;Jaén;53317;
07/07/2021;Total confirmados ;Málaga;111973;
07/07/2021;Total confirmados ;Sevilla;139374;
07/07/2021;Hospitalizados;Andalucía;49698;
07/07/2021;Hospitalizados;Almería;3939;
07/07/2021;Hospitalizados;Cádiz;5920;
07/07/2021;Hospitalizados;Córdoba;4724;
07/07/2021;Hospitalizados;Granada;8370;
07/07/2021;Hospitalizados;Huelva;2419;
07/07/2021;Hospitalizados;Jaén;4763;
07/07/2021;Hospitalizados;Málaga;8448;
07/07/2021;Hospitalizados;Sevilla;11115;
07/07/2021;Total UCI;Andalucía;5613;
07/07/2021;Total UCI;Almería;680;
07/07/2021;Total UCI;Cádiz;666;
07/07/2021;Total UCI;Córdoba;588;
07/07/2021;Total UCI;Granada;1108;
07/07/2021;Total UCI;Huelva;182;
07/07/2021;Total UCI;Jaén;456;
07/07/2021;Total UCI;Málaga;806;
07/07/2021;Total UCI;Sevilla;1127;
07/07/2021;Fallecidos;Andalucía;10232;
07/07/2021;Fallecidos;Almería;839;
07/07/2021;Fallecidos;Cádiz;1506;
07/07/2021;Fallecidos;Córdoba;976;
07/07/2021;Fallecidos;Granada;1783;
07/07/2021;Fallecidos;Huelva;395;
07/07/2021;Fallecidos;Jaén;1011;
07/07/2021;Fallecidos;Málaga;1678;
07/07/2021;Fallecidos;Sevilla;2044;
07/07/2021;Curados;Andalucía;596764;
07/07/2021;Curados;Almería;54600;
07/07/2021;Curados;Cádiz;81970;
07/07/2021;Curados;Córdoba;53763;
07/07/2021;Curados;Granada;88470;
07/07/2021;Curados;Huelva;32243;
07/07/2021;Curados;Jaén;50485;
07/07/2021;Curados;Málaga;103465;
07/07/2021;Curados;Sevilla;131768;
06/07/2021;Confirmados PDIA;Andalucía;627846;
06/07/2021;Confirmados PDIA;Almería;56126;
06/07/2021;Confirmados PDIA;Cádiz;86785;
06/07/2021;Confirmados PDIA;Córdoba;57547;
06/07/2021;Confirmados PDIA;Granada;93144;
06/07/2021;Confirmados PDIA;Huelva;33923;
06/07/2021;Confirmados PDIA;Jaén;52614;
06/07/2021;Confirmados PDIA;Málaga;109494;
06/07/2021;Confirmados PDIA;Sevilla;138213;
06/07/2021;Aumento;Andalucía;1806;
06/07/2021;Aumento;Almería;114;
06/07/2021;Aumento;Cádiz;312;
06/07/2021;Aumento;Córdoba;280;
06/07/2021;Aumento;Granada;184;
06/07/2021;Aumento;Huelva;45;
06/07/2021;Aumento;Jaén;73;
06/07/2021;Aumento;Málaga;571;
06/07/2021;Aumento;Sevilla;227;
06/07/2021;Confirmados PDIA 14 días;Andalucía;17104;
06/07/2021;Confirmados PDIA 14 días;Almería;785;
06/07/2021;Confirmados PDIA 14 días;Cádiz;2337;
06/07/2021;Confirmados PDIA 14 días;Córdoba;2114;
06/07/2021;Confirmados PDIA 14 días;Granada;2379;
06/07/2021;Confirmados PDIA 14 días;Huelva;831;
06/07/2021;Confirmados PDIA 14 días;Jaén;1272;
06/07/2021;Confirmados PDIA 14 días;Málaga;4509;
06/07/2021;Confirmados PDIA 14 días;Sevilla;2877;
06/07/2021;Confirmados PDIA 7 días;Andalucía;9222;
06/07/2021;Confirmados PDIA 7 días;Almería;471;
06/07/2021;Confirmados PDIA 7 días;Cádiz;1295;
06/07/2021;Confirmados PDIA 7 días;Córdoba;1095;
06/07/2021;Confirmados PDIA 7 días;Granada;1211;
06/07/2021;Confirmados PDIA 7 días;Huelva;399;
06/07/2021;Confirmados PDIA 7 días;Jaén;710;
06/07/2021;Confirmados PDIA 7 días;Málaga;2701;
06/07/2021;Confirmados PDIA 7 días;Sevilla;1340;
06/07/2021;Total confirmados ;Andalucía;633256;
06/07/2021;Total confirmados ;Almería;56435;
06/07/2021;Total confirmados ;Cádiz;87169;
06/07/2021;Total confirmados ;Córdoba;58006;
06/07/2021;Total confirmados ;Granada;93979;
06/07/2021;Total confirmados ;Huelva;34108;
06/07/2021;Total confirmados ;Jaén;53167;
06/07/2021;Total confirmados ;Málaga;111363;
06/07/2021;Total confirmados ;Sevilla;139029;
06/07/2021;Hospitalizados;Andalucía;49652;
06/07/2021;Hospitalizados;Almería;3932;
06/07/2021;Hospitalizados;Cádiz;5919;
06/07/2021;Hospitalizados;Córdoba;4719;
06/07/2021;Hospitalizados;Granada;8358;
06/07/2021;Hospitalizados;Huelva;2416;
06/07/2021;Hospitalizados;Jaén;4764;
06/07/2021;Hospitalizados;Málaga;8436;
06/07/2021;Hospitalizados;Sevilla;11108;
06/07/2021;Total UCI;Andalucía;5598;
06/07/2021;Total UCI;Almería;680;
06/07/2021;Total UCI;Cádiz;663;
06/07/2021;Total UCI;Córdoba;588;
06/07/2021;Total UCI;Granada;1103;
06/07/2021;Total UCI;Huelva;181;
06/07/2021;Total UCI;Jaén;455;
06/07/2021;Total UCI;Málaga;804;
06/07/2021;Total UCI;Sevilla;1124;
06/07/2021;Fallecidos;Andalucía;10223;
06/07/2021;Fallecidos;Almería;837;
06/07/2021;Fallecidos;Cádiz;1504;
06/07/2021;Fallecidos;Córdoba;976;
06/07/2021;Fallecidos;Granada;1782;
06/07/2021;Fallecidos;Huelva;395;
06/07/2021;Fallecidos;Jaén;1011;
06/07/2021;Fallecidos;Málaga;1677;
06/07/2021;Fallecidos;Sevilla;2041;
06/07/2021;Curados;Andalucía;596729;
06/07/2021;Curados;Almería;54592;
06/07/2021;Curados;Cádiz;81967;
06/07/2021;Curados;Córdoba;53763;
06/07/2021;Curados;Granada;88472;
06/07/2021;Curados;Huelva;32242;
06/07/2021;Curados;Jaén;50479;
06/07/2021;Curados;Málaga;103447;
06/07/2021;Curados;Sevilla;131767;
05/07/2021;Confirmados PDIA;Andalucía;626040;
05/07/2021;Confirmados PDIA;Almería;56012;
05/07/2021;Confirmados PDIA;Cádiz;86473;
05/07/2021;Confirmados PDIA;Córdoba;57267;
05/07/2021;Confirmados PDIA;Granada;92960;
05/07/2021;Confirmados PDIA;Huelva;33878;
05/07/2021;Confirmados PDIA;Jaén;52541;
05/07/2021;Confirmados PDIA;Málaga;108923;
05/07/2021;Confirmados PDIA;Sevilla;137986;
05/07/2021;Aumento;Andalucía;2144;
05/07/2021;Aumento;Almería;87;
05/07/2021;Aumento;Cádiz;288;
05/07/2021;Aumento;Córdoba;224;
05/07/2021;Aumento;Granada;287;
05/07/2021;Aumento;Huelva;102;
05/07/2021;Aumento;Jaén;219;
05/07/2021;Aumento;Málaga;691;
05/07/2021;Aumento;Sevilla;246;
05/07/2021;Confirmados PDIA 14 días;Andalucía;16280;
05/07/2021;Confirmados PDIA 14 días;Almería;712;
05/07/2021;Confirmados PDIA 14 días;Cádiz;2116;
05/07/2021;Confirmados PDIA 14 días;Córdoba;1935;
05/07/2021;Confirmados PDIA 14 días;Granada;2341;
05/07/2021;Confirmados PDIA 14 días;Huelva;858;
05/07/2021;Confirmados PDIA 14 días;Jaén;1280;
05/07/2021;Confirmados PDIA 14 días;Málaga;4160;
05/07/2021;Confirmados PDIA 14 días;Sevilla;2878;
05/07/2021;Confirmados PDIA 7 días;Andalucía;8668;
05/07/2021;Confirmados PDIA 7 días;Almería;397;
05/07/2021;Confirmados PDIA 7 días;Cádiz;1145;
05/07/2021;Confirmados PDIA 7 días;Córdoba;941;
05/07/2021;Confirmados PDIA 7 días;Granada;1220;
05/07/2021;Confirmados PDIA 7 días;Huelva;408;
05/07/2021;Confirmados PDIA 7 días;Jaén;735;
05/07/2021;Confirmados PDIA 7 días;Málaga;2490;
05/07/2021;Confirmados PDIA 7 días;Sevilla;1332;
05/07/2021;Total confirmados ;Andalucía;631450;
05/07/2021;Total confirmados ;Almería;56321;
05/07/2021;Total confirmados ;Cádiz;86857;
05/07/2021;Total confirmados ;Córdoba;57726;
05/07/2021;Total confirmados ;Granada;93795;
05/07/2021;Total confirmados ;Huelva;34063;
05/07/2021;Total confirmados ;Jaén;53094;
05/07/2021;Total confirmados ;Málaga;110793;
05/07/2021;Total confirmados ;Sevilla;138801;
05/07/2021;Hospitalizados;Andalucía;49581;
05/07/2021;Hospitalizados;Almería;3927;
05/07/2021;Hospitalizados;Cádiz;5912;
05/07/2021;Hospitalizados;Córdoba;4715;
05/07/2021;Hospitalizados;Granada;8346;
05/07/2021;Hospitalizados;Huelva;2414;
05/07/2021;Hospitalizados;Jaén;4753;
05/07/2021;Hospitalizados;Málaga;8414;
05/07/2021;Hospitalizados;Sevilla;11100;
05/07/2021;Total UCI;Andalucía;5593;
05/07/2021;Total UCI;Almería;679;
05/07/2021;Total UCI;Cádiz;663;
05/07/2021;Total UCI;Córdoba;587;
05/07/2021;Total UCI;Granada;1102;
05/07/2021;Total UCI;Huelva;181;
05/07/2021;Total UCI;Jaén;455;
05/07/2021;Total UCI;Málaga;803;
05/07/2021;Total UCI;Sevilla;1123;
05/07/2021;Fallecidos;Andalucía;10219;
05/07/2021;Fallecidos;Almería;837;
05/07/2021;Fallecidos;Cádiz;1504;
05/07/2021;Fallecidos;Córdoba;974;
05/07/2021;Fallecidos;Granada;1781;
05/07/2021;Fallecidos;Huelva;395;
05/07/2021;Fallecidos;Jaén;1010;
05/07/2021;Fallecidos;Málaga;1677;
05/07/2021;Fallecidos;Sevilla;2041;
05/07/2021;Curados;Andalucía;596566;
05/07/2021;Curados;Almería;54590;
05/07/2021;Curados;Cádiz;81966;
05/07/2021;Curados;Córdoba;53763;
05/07/2021;Curados;Granada;88473;
05/07/2021;Curados;Huelva;32242;
05/07/2021;Curados;Jaén;50479;
05/07/2021;Curados;Málaga;103431;
05/07/2021;Curados;Sevilla;131622;
03/07/2021;Confirmados PDIA;Andalucía;623896;
03/07/2021;Confirmados PDIA;Almería;55925;
03/07/2021;Confirmados PDIA;Cádiz;86185;
03/07/2021;Confirmados PDIA;Córdoba;57043;
03/07/2021;Confirmados PDIA;Granada;92673;
03/07/2021;Confirmados PDIA;Huelva;33776;
03/07/2021;Confirmados PDIA;Jaén;52322;
03/07/2021;Confirmados PDIA;Málaga;108232;
03/07/2021;Confirmados PDIA;Sevilla;137740;
03/07/2021;Aumento;Andalucía;1947;
03/07/2021;Aumento;Almería;99;
03/07/2021;Aumento;Cádiz;275;
03/07/2021;Aumento;Córdoba;228;
03/07/2021;Aumento;Granada;234;
03/07/2021;Aumento;Huelva;68;
03/07/2021;Aumento;Jaén;126;
03/07/2021;Aumento;Málaga;604;
03/07/2021;Aumento;Sevilla;313;
03/07/2021;Confirmados PDIA 14 días;Andalucía;15288;
03/07/2021;Confirmados PDIA 14 días;Almería;674;
03/07/2021;Confirmados PDIA 14 días;Cádiz;1965;
03/07/2021;Confirmados PDIA 14 días;Córdoba;1993;
03/07/2021;Confirmados PDIA 14 días;Granada;2178;
03/07/2021;Confirmados PDIA 14 días;Huelva;821;
03/07/2021;Confirmados PDIA 14 días;Jaén;1133;
03/07/2021;Confirmados PDIA 14 días;Málaga;3663;
03/07/2021;Confirmados PDIA 14 días;Sevilla;2861;
03/07/2021;Confirmados PDIA 7 días;Andalucía;8035;
03/07/2021;Confirmados PDIA 7 días;Almería;372;
03/07/2021;Confirmados PDIA 7 días;Cádiz;1045;
03/07/2021;Confirmados PDIA 7 días;Córdoba;928;
03/07/2021;Confirmados PDIA 7 días;Granada;1157;
03/07/2021;Confirmados PDIA 7 días;Huelva;386;
03/07/2021;Confirmados PDIA 7 días;Jaén;636;
03/07/2021;Confirmados PDIA 7 días;Málaga;2127;
03/07/2021;Confirmados PDIA 7 días;Sevilla;1384;
03/07/2021;Total confirmados ;Andalucía;629306;
03/07/2021;Total confirmados ;Almería;56234;
03/07/2021;Total confirmados ;Cádiz;86569;
03/07/2021;Total confirmados ;Córdoba;57502;
03/07/2021;Total confirmados ;Granada;93508;
03/07/2021;Total confirmados ;Huelva;33961;
03/07/2021;Total confirmados ;Jaén;52875;
03/07/2021;Total confirmados ;Málaga;110102;
03/07/2021;Total confirmados ;Sevilla;138555;
03/07/2021;Hospitalizados;Andalucía;49547;
03/07/2021;Hospitalizados;Almería;3926;
03/07/2021;Hospitalizados;Cádiz;5910;
03/07/2021;Hospitalizados;Córdoba;4709;
03/07/2021;Hospitalizados;Granada;8340;
03/07/2021;Hospitalizados;Huelva;2409;
03/07/2021;Hospitalizados;Jaén;4752;
03/07/2021;Hospitalizados;Málaga;8401;
03/07/2021;Hospitalizados;Sevilla;11100;
03/07/2021;Total UCI;Andalucía;5592;
03/07/2021;Total UCI;Almería;679;
03/07/2021;Total UCI;Cádiz;663;
03/07/2021;Total UCI;Córdoba;587;
03/07/2021;Total UCI;Granada;1102;
03/07/2021;Total UCI;Huelva;180;
03/07/2021;Total UCI;Jaén;455;
03/07/2021;Total UCI;Málaga;803;
03/07/2021;Total UCI;Sevilla;1123;
03/07/2021;Fallecidos;Andalucía;10218;
03/07/2021;Fallecidos;Almería;837;
03/07/2021;Fallecidos;Cádiz;1504;
03/07/2021;Fallecidos;Córdoba;974;
03/07/2021;Fallecidos;Granada;1781;
03/07/2021;Fallecidos;Huelva;395;
03/07/2021;Fallecidos;Jaén;1010;
03/07/2021;Fallecidos;Málaga;1676;
03/07/2021;Fallecidos;Sevilla;2041;
03/07/2021;Curados;Andalucía;594218;
03/07/2021;Curados;Almería;54522;
03/07/2021;Curados;Cádiz;81708;
03/07/2021;Curados;Córdoba;53420;
03/07/2021;Curados;Granada;88091;
03/07/2021;Curados;Huelva;32123;
03/07/2021;Curados;Jaén;50372;
03/07/2021;Curados;Málaga;102930;
03/07/2021;Curados;Sevilla;131052;
02/07/2021;Confirmados PDIA;Andalucía;621949;
02/07/2021;Confirmados PDIA;Almería;55826;
02/07/2021;Confirmados PDIA;Cádiz;85910;
02/07/2021;Confirmados PDIA;Córdoba;56815;
02/07/2021;Confirmados PDIA;Granada;92439;
02/07/2021;Confirmados PDIA;Huelva;33708;
02/07/2021;Confirmados PDIA;Jaén;52196;
02/07/2021;Confirmados PDIA;Málaga;107628;
02/07/2021;Confirmados PDIA;Sevilla;137427;
02/07/2021;Aumento;Andalucía;2007;
02/07/2021;Aumento;Almería;86;
02/07/2021;Aumento;Cádiz;247;
02/07/2021;Aumento;Córdoba;205;
02/07/2021;Aumento;Granada;306;
02/07/2021;Aumento;Huelva;89;
02/07/2021;Aumento;Jaén;186;
02/07/2021;Aumento;Málaga;552;
02/07/2021;Aumento;Sevilla;336;
02/07/2021;Confirmados PDIA 14 días;Andalucía;14681;
02/07/2021;Confirmados PDIA 14 días;Almería;608;
02/07/2021;Confirmados PDIA 14 días;Cádiz;1845;
02/07/2021;Confirmados PDIA 14 días;Córdoba;1979;
02/07/2021;Confirmados PDIA 14 días;Granada;2141;
02/07/2021;Confirmados PDIA 14 días;Huelva;844;
02/07/2021;Confirmados PDIA 14 días;Jaén;1047;
02/07/2021;Confirmados PDIA 14 días;Málaga;3325;
02/07/2021;Confirmados PDIA 14 días;Sevilla;2892;
02/07/2021;Confirmados PDIA 7 días;Andalucía;7403;
02/07/2021;Confirmados PDIA 7 días;Almería;336;
02/07/2021;Confirmados PDIA 7 días;Cádiz;964;
02/07/2021;Confirmados PDIA 7 días;Córdoba;863;
02/07/2021;Confirmados PDIA 7 días;Granada;1108;
02/07/2021;Confirmados PDIA 7 días;Huelva;378;
02/07/2021;Confirmados PDIA 7 días;Jaén;583;
02/07/2021;Confirmados PDIA 7 días;Málaga;1834;
02/07/2021;Confirmados PDIA 7 días;Sevilla;1337;
02/07/2021;Total confirmados ;Andalucía;627359;
02/07/2021;Total confirmados ;Almería;56135;
02/07/2021;Total confirmados ;Cádiz;86294;
02/07/2021;Total confirmados ;Córdoba;57274;
02/07/2021;Total confirmados ;Granada;93274;
02/07/2021;Total confirmados ;Huelva;33893;
02/07/2021;Total confirmados ;Jaén;52749;
02/07/2021;Total confirmados ;Málaga;109498;
02/07/2021;Total confirmados ;Sevilla;138242;
02/07/2021;Hospitalizados;Andalucía;49450;
02/07/2021;Hospitalizados;Almería;3923;
02/07/2021;Hospitalizados;Cádiz;5888;
02/07/2021;Hospitalizados;Córdoba;4690;
02/07/2021;Hospitalizados;Granada;8332;
02/07/2021;Hospitalizados;Huelva;2407;
02/07/2021;Hospitalizados;Jaén;4749;
02/07/2021;Hospitalizados;Málaga;8392;
02/07/2021;Hospitalizados;Sevilla;11069;
02/07/2021;Total UCI;Andalucía;5591;
02/07/2021;Total UCI;Almería;679;
02/07/2021;Total UCI;Cádiz;663;
02/07/2021;Total UCI;Córdoba;587;
02/07/2021;Total UCI;Granada;1102;
02/07/2021;Total UCI;Huelva;179;
02/07/2021;Total UCI;Jaén;455;
02/07/2021;Total UCI;Málaga;803;
02/07/2021;Total UCI;Sevilla;1123;
02/07/2021;Fallecidos;Andalucía;10213;
02/07/2021;Fallecidos;Almería;836;
02/07/2021;Fallecidos;Cádiz;1504;
02/07/2021;Fallecidos;Córdoba;973;
02/07/2021;Fallecidos;Granada;1781;
02/07/2021;Fallecidos;Huelva;395;
02/07/2021;Fallecidos;Jaén;1010;
02/07/2021;Fallecidos;Málaga;1675;
02/07/2021;Fallecidos;Sevilla;2039;
02/07/2021;Curados;Andalucía;592951;
02/07/2021;Curados;Almería;54479;
02/07/2021;Curados;Cádiz;81614;
02/07/2021;Curados;Córdoba;53203;
02/07/2021;Curados;Granada;87850;
02/07/2021;Curados;Huelva;32095;
02/07/2021;Curados;Jaén;50359;
02/07/2021;Curados;Málaga;102695;
02/07/2021;Curados;Sevilla;130656;
01/07/2021;Confirmados PDIA;Andalucía;619942;
01/07/2021;Confirmados PDIA;Almería;55740;
01/07/2021;Confirmados PDIA;Cádiz;85663;
01/07/2021;Confirmados PDIA;Córdoba;56610;
01/07/2021;Confirmados PDIA;Granada;92133;
01/07/2021;Confirmados PDIA;Huelva;33619;
01/07/2021;Confirmados PDIA;Jaén;52010;
01/07/2021;Confirmados PDIA;Málaga;107076;
01/07/2021;Confirmados PDIA;Sevilla;137091;
01/07/2021;Aumento;Andalucía;1689;
01/07/2021;Aumento;Almería;77;
01/07/2021;Aumento;Cádiz;219;
01/07/2021;Aumento;Córdoba;168;
01/07/2021;Aumento;Granada;274;
01/07/2021;Aumento;Huelva;70;
01/07/2021;Aumento;Jaén;149;
01/07/2021;Aumento;Málaga;419;
01/07/2021;Aumento;Sevilla;313;
01/07/2021;Confirmados PDIA 14 días;Andalucía;14079;
01/07/2021;Confirmados PDIA 14 días;Almería;558;
01/07/2021;Confirmados PDIA 14 días;Cádiz;1813;
01/07/2021;Confirmados PDIA 14 días;Córdoba;1944;
01/07/2021;Confirmados PDIA 14 días;Granada;2009;
01/07/2021;Confirmados PDIA 14 días;Huelva;836;
01/07/2021;Confirmados PDIA 14 días;Jaén;958;
01/07/2021;Confirmados PDIA 14 días;Málaga;3053;
01/07/2021;Confirmados PDIA 14 días;Sevilla;2908;
01/07/2021;Confirmados PDIA 7 días;Andalucía;6654;
01/07/2021;Confirmados PDIA 7 días;Almería;300;
01/07/2021;Confirmados PDIA 7 días;Cádiz;872;
01/07/2021;Confirmados PDIA 7 días;Córdoba;792;
01/07/2021;Confirmados PDIA 7 días;Granada;981;
01/07/2021;Confirmados PDIA 7 días;Huelva;368;
01/07/2021;Confirmados PDIA 7 días;Jaén;504;
01/07/2021;Confirmados PDIA 7 días;Málaga;1584;
01/07/2021;Confirmados PDIA 7 días;Sevilla;1253;
01/07/2021;Total confirmados ;Andalucía;625355;
01/07/2021;Total confirmados ;Almería;56049;
01/07/2021;Total confirmados ;Cádiz;86047;
01/07/2021;Total confirmados ;Córdoba;57069;
01/07/2021;Total confirmados ;Granada;92968;
01/07/2021;Total confirmados ;Huelva;33804;
01/07/2021;Total confirmados ;Jaén;52563;
01/07/2021;Total confirmados ;Málaga;108948;
01/07/2021;Total confirmados ;Sevilla;137907;
01/07/2021;Hospitalizados;Andalucía;49415;
01/07/2021;Hospitalizados;Almería;3921;
01/07/2021;Hospitalizados;Cádiz;5884;
01/07/2021;Hospitalizados;Córdoba;4683;
01/07/2021;Hospitalizados;Granada;8325;
01/07/2021;Hospitalizados;Huelva;2404;
01/07/2021;Hospitalizados;Jaén;4748;
01/07/2021;Hospitalizados;Málaga;8383;
01/07/2021;Hospitalizados;Sevilla;11067;
01/07/2021;Total UCI;Andalucía;5588;
01/07/2021;Total UCI;Almería;679;
01/07/2021;Total UCI;Cádiz;662;
01/07/2021;Total UCI;Córdoba;586;
01/07/2021;Total UCI;Granada;1102;
01/07/2021;Total UCI;Huelva;179;
01/07/2021;Total UCI;Jaén;455;
01/07/2021;Total UCI;Málaga;803;
01/07/2021;Total UCI;Sevilla;1122;
01/07/2021;Fallecidos;Andalucía;10208;
01/07/2021;Fallecidos;Almería;835;
01/07/2021;Fallecidos;Cádiz;1504;
01/07/2021;Fallecidos;Córdoba;973;
01/07/2021;Fallecidos;Granada;1781;
01/07/2021;Fallecidos;Huelva;394;
01/07/2021;Fallecidos;Jaén;1010;
01/07/2021;Fallecidos;Málaga;1674;
01/07/2021;Fallecidos;Sevilla;2037;
01/07/2021;Curados;Andalucía;591745;
01/07/2021;Curados;Almería;54420;
01/07/2021;Curados;Cádiz;81537;
01/07/2021;Curados;Córdoba;53105;
01/07/2021;Curados;Granada;87568;
01/07/2021;Curados;Huelva;31993;
01/07/2021;Curados;Jaén;50242;
01/07/2021;Curados;Málaga;102629;
01/07/2021;Curados;Sevilla;130251;
30/06/2021;Confirmados PDIA;Andalucía;618253;
30/06/2021;Confirmados PDIA;Almería;55663;
30/06/2021;Confirmados PDIA;Cádiz;85444;
30/06/2021;Confirmados PDIA;Córdoba;56442;
30/06/2021;Confirmados PDIA;Granada;91859;
30/06/2021;Confirmados PDIA;Huelva;33549;
30/06/2021;Confirmados PDIA;Jaén;51861;
30/06/2021;Confirmados PDIA;Málaga;106657;
30/06/2021;Confirmados PDIA;Sevilla;136778;
30/06/2021;Aumento;Andalucía;1324;
30/06/2021;Aumento;Almería;51;
30/06/2021;Aumento;Cádiz;162;
30/06/2021;Aumento;Córdoba;168;
30/06/2021;Aumento;Granada;198;
30/06/2021;Aumento;Huelva;81;
30/06/2021;Aumento;Jaén;94;
30/06/2021;Aumento;Málaga;317;
30/06/2021;Aumento;Sevilla;253;
30/06/2021;Confirmados PDIA 14 días;Andalucía;13801;
30/06/2021;Confirmados PDIA 14 días;Almería;519;
30/06/2021;Confirmados PDIA 14 días;Cádiz;1791;
30/06/2021;Confirmados PDIA 14 días;Córdoba;2026;
30/06/2021;Confirmados PDIA 14 días;Granada;1903;
30/06/2021;Confirmados PDIA 14 días;Huelva;864;
30/06/2021;Confirmados PDIA 14 días;Jaén;896;
30/06/2021;Confirmados PDIA 14 días;Málaga;2929;
30/06/2021;Confirmados PDIA 14 días;Sevilla;2873;
30/06/2021;Confirmados PDIA 7 días;Andalucía;6320;
30/06/2021;Confirmados PDIA 7 días;Almería;268;
30/06/2021;Confirmados PDIA 7 días;Cádiz;839;
30/06/2021;Confirmados PDIA 7 días;Córdoba;847;
30/06/2021;Confirmados PDIA 7 días;Granada;918;
30/06/2021;Confirmados PDIA 7 días;Huelva;364;
30/06/2021;Confirmados PDIA 7 días;Jaén;457;
30/06/2021;Confirmados PDIA 7 días;Málaga;1417;
30/06/2021;Confirmados PDIA 7 días;Sevilla;1210;
30/06/2021;Total confirmados ;Andalucía;623663;
30/06/2021;Total confirmados ;Almería;55971;
30/06/2021;Total confirmados ;Cádiz;85828;
30/06/2021;Total confirmados ;Córdoba;56900;
30/06/2021;Total confirmados ;Granada;92694;
30/06/2021;Total confirmados ;Huelva;33734;
30/06/2021;Total confirmados ;Jaén;52414;
30/06/2021;Total confirmados ;Málaga;108528;
30/06/2021;Total confirmados ;Sevilla;137594;
30/06/2021;Hospitalizados;Andalucía;49373;
30/06/2021;Hospitalizados;Almería;3919;
30/06/2021;Hospitalizados;Cádiz;5882;
30/06/2021;Hospitalizados;Córdoba;4678;
30/06/2021;Hospitalizados;Granada;8315;
30/06/2021;Hospitalizados;Huelva;2404;
30/06/2021;Hospitalizados;Jaén;4742;
30/06/2021;Hospitalizados;Málaga;8371;
30/06/2021;Hospitalizados;Sevilla;11062;
30/06/2021;Total UCI;Andalucía;5583;
30/06/2021;Total UCI;Almería;679;
30/06/2021;Total UCI;Cádiz;662;
30/06/2021;Total UCI;Córdoba;585;
30/06/2021;Total UCI;Granada;1102;
30/06/2021;Total UCI;Huelva;179;
30/06/2021;Total UCI;Jaén;454;
30/06/2021;Total UCI;Málaga;801;
30/06/2021;Total UCI;Sevilla;1121;
30/06/2021;Fallecidos;Andalucía;10208;
30/06/2021;Fallecidos;Almería;835;
30/06/2021;Fallecidos;Cádiz;1504;
30/06/2021;Fallecidos;Córdoba;973;
30/06/2021;Fallecidos;Granada;1781;
30/06/2021;Fallecidos;Huelva;394;
30/06/2021;Fallecidos;Jaén;1010;
30/06/2021;Fallecidos;Málaga;1674;
30/06/2021;Fallecidos;Sevilla;2037;
30/06/2021;Curados;Andalucía;590602;
30/06/2021;Curados;Almería;54376;
30/06/2021;Curados;Cádiz;81371;
30/06/2021;Curados;Córdoba;52934;
30/06/2021;Curados;Granada;87486;
30/06/2021;Curados;Huelva;31837;
30/06/2021;Curados;Jaén;50140;
30/06/2021;Curados;Málaga;102409;
30/06/2021;Curados;Sevilla;130049;
29/06/2021;Confirmados PDIA;Andalucía;616929;
29/06/2021;Confirmados PDIA;Almería;55612;
29/06/2021;Confirmados PDIA;Cádiz;85282;
29/06/2021;Confirmados PDIA;Córdoba;56274;
29/06/2021;Confirmados PDIA;Granada;91661;
